title,model,price,date,url
홈플래닛 노트북 거치대(높이 각도 조절),기타,12000.0,2025-05-02 01:02:25.884503,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%ED%99%88%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B1%B0%EC%B9%98%EB%8C%80-%EB%86%92%EC%9D%B4-%EA%B0%81%EB%8F%84-%EC%A1%B0%EC%A0%88-n2p39k8kmecw/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
Asus x560u 노트북,기타,250000.0,2025-05-02 01:02:25.884507,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/asus-x560u-%EB%85%B8%ED%8A%B8%EB%B6%81-sn7gggme9kde/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 부품용,기타,30000.0,2025-05-02 01:02:25.884510,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%B6%80%ED%92%88%EC%9A%A9-a91eku2an3vv/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
ASUS 에이수스 비보북 고 15 OLED (E1504FA-R7525T) 노트북 판매합니다,ASUS,320000.0,2025-05-02 01:02:25.884515,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/asus-%EC%97%90%EC%9D%B4%EC%88%98%EC%8A%A4-%EB%B9%84%EB%B3%B4%EB%B6%81-%EA%B3%A0-15-oled-e1504fa-r7525t-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-qw1wk9jhj5xy/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 충전선,기타,5000.0,2025-05-02 01:02:25.884518,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EC%B6%A9%EC%A0%84%EC%84%A0-fdaj1ci2d3pi/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
lg 노트북 거의 새거,기타,600000.0,2025-05-02 01:02:25.884521,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/lg-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B1%B0%EC%9D%98-%EC%83%88%EA%B1%B0-r43nbdxoz5b5/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
넥스탠드 노트북 거치대,기타,6000.0,2025-05-02 01:02:25.884525,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%84%A5%EC%8A%A4%ED%83%A0%EB%93%9C-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B1%B0%EC%B9%98%EB%8C%80-p2div4r4q31n/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 2대 HP1+ 삼성1 팝니다(수리 or OS설치필요),삼성,50000.0,2025-05-02 01:02:25.884529,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-2%EB%8C%80-hp1-%EC%82%BC%EC%84%B11-%ED%8C%9D%EB%8B%88%EB%8B%A4-%EC%88%98%EB%A6%AC-or-os%EC%84%A4%EC%B9%98%ED%95%84%EC%9A%94-sok9tag85cwe/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
레노버 게이밍 노트북 판매합니다.(리전5pro)(풀박),레노버,1000000.0,2025-05-02 01:02:25.884534,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%A0%88%EB%85%B8%EB%B2%84-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-%EB%A6%AC%EC%A0%845pro-%ED%92%80%EB%B0%95-g3ckss9ftc1o/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
삼성 노트북,삼성,80000.0,2025-05-02 01:02:25.884537,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EB%85%B8%ED%8A%B8%EB%B6%81-6pgud6rzg7yo/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
레노버 노트북 팝니다,레노버,400000.0,2025-05-02 01:02:25.884541,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%A0%88%EB%85%B8%EB%B2%84-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%9D%EB%8B%88%EB%8B%A4-2bybbmumv2dh/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
포켓 386 노트북(레트로pc),기타,210000.0,2025-05-02 01:02:25.884546,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%ED%8F%AC%EC%BC%93-386-%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%A0%88%ED%8A%B8%EB%A1%9Cpc-qyznx15ir7fn/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
